689;"UIK";"GN";1606;1650;0;735;7;908;7;731;10;728;150;100;14;50;1;0;0;0;89;151;17;191;74;195;11
739;"UIK";"GN";1804;1400;0;822;51;526;51;822;11;862;42;39;24;3;3;0;1;0;159;108;12;222;171;179;11
750;"UIK";"GN";2408;2000;0;1126;33;841;33;1125;17;1141;50;35;30;15;0;0;0;0;192;133;33;363;153;261;6
764;"UIK";"GN";2955;2400;0;1328;38;1034;38;1327;19;1346;85;71;47;14;3;0;0;0;216;226;27;333;147;380;17
789;"UIK";"GN";2230;1800;0;995;29;776;29;993;18;1004;55;48;27;7;4;0;0;0;164;143;11;299;135;241;11
793;"UIK";"GN";1860;1700;0;852;10;838;10;851;9;852;23;23;74;0;0;0;0;0;115;142;23;206;109;243;14
801;"UIK";"GN";2788;2250;0;1362;21;867;21;1359;25;1355;80;60;41;20;24;0;0;0;252;202;39;335;159;351;17
821;"UIK";"GN";2239;2000;0;1158;27;815;27;1156;20;1163;60;53;29;7;0;0;0;0;232;184;14;286;107;335;5
870;"UIK";"GN";2296;1806;0;1138;38;630;38;1119;20;1137;50;33;18;17;5;0;0;0;244;149;21;286;142;278;17
953;"UIK";"GN";2788;2800;0;1300;25;1475;25;1275;43;1257;65;61;52;4;2;0;0;0;248;173;37;327;117;342;13
995;"UIK";"GN";2300;1950;0;1419;47;484;47;1419;25;1441;45;41;29;4;3;0;0;0;213;157;19;327;165;548;12
1004;"UIK";"GN";1115;850;0;621;3;226;3;621;6;618;25;10;25;15;0;0;0;0;101;113;9;137;108;140;10
1029;"UIK";"GN";2498;2150;0;1200;24;926;24;1196;29;1191;85;61;39;24;3;0;0;0;247;126;26;300;178;303;11
1109;"UIK";"GN";2301;1700;0;991;22;687;22;976;16;982;40;36;17;4;35;0;0;0;175;161;23;253;129;236;5
1134;"UIK";"GN";2235;2200;0;942;63;1195;63;941;24;980;65;52;35;13;7;0;0;0;158;141;21;249;115;283;13
1146;"UIK";"GN";2010;1600;0;1434;66;100;66;1372;15;1423;50;40;51;10;2;0;0;0;202;99;19;307;150;633;13
1168;"UIK";"GN";2492;2500;0;1174;46;1280;46;1168;21;1193;60;51;22;9;5;0;0;0;174;173;27;279;176;353;11
1193;"UIK";"GN";2368;2000;0;1088;21;891;21;1086;22;1085;50;40;144;10;2;0;0;0;160;142;11;232;166;365;9
