баcман;21;"Басманная Нов. ул., 4/6;Басманная Стар. ул., 5 (с.1), 7, 9 (к.1,2);Земляной вал ул., 1/4 (с.1, 2), 3/1 (с.6, 7);Казакова ул., 3 (с.1, 4);Садовая-Черногрязская ул., 3Б (с.1), 5/9, 11/2, 13/3 (с.1);Хомутовский туп., 4 (к.1,2).";"Садовая-Черногрязская ул., 11/2Общественный пункт охраны порядка495-607-00-20";"ул. Басманная Нов., 6,школа 320499-975-12-35";
баcман;22;"Басманная Нов. ул., 12 (с. 2, 3), 14 (с.1, 3), 16 (с.3, 4), 18, 20, 25/2 (с. 1), 28, 31 (с.1, 3);Басманная Стар. ул., 13 (с.1), 14, 15 (с.2), 21/4 (с.2), 25 (с.1, 5), 31 (с.1), 33;Басманный 1-й пер., 4, 12;Басманный туп., 6А, 10/12;Новорязанская ул., 22/14, 25, 30, 30А, 32 (с.1), 36, 38 (с.1);Ольховская ул., 2А.";"Басманный 1-ый пер., 12Общественный пункт охраны порядка495-607-00-36";"ул. Басманная Стар., 35ГО ЦО 354495-632-18-68";
баcман;23;"Басманная Стар. ул., 22 (с.2, 3), 24 (с.1), 26, 28/2, 30/1 (с.5), 38/2 (с.3);Денисовский пер., 3-5, 7/9;Доброслободская ул., 4, 8, 10 (с.3, 5, к.4), 12 (с.1);Токмаков пер., 3-5, 7, 10 (с.3), 13-15 (с.1).";"Токмаков пер., 8,детская музыкальная школа им. С.С. Прокофьева495-632-27-61";"Токмаков пер., 8,детская музыкальная школа им. С.С. Прокофьева495-632-27-61";
баcман;24;"Аптекарский пер., 8, 8/2;Бауманская ул., 62-66, 66/11, 68/8 (с.1);Бригадирский пер., 1/13, 3-5;Демидовский Б. пер., 9, 10/28, 11;Денисовский пер., 8/14, 22;Доброслободская ул., 11/13, 14/2, 15, 15/17, 16 (к.1, 2, 3);Радио ул., 5 (с.5).";"Аптекарский пер., 8/2Библиотека 61499-261-41-43";"Аптекарский пер., 8/2Библиотека 61499-261-41-43";
баcман;25;"Аптекарский пер., 3/22, 5/21, 7, 10/1, 13/15 (с.1), 15;Бауманская ул., 43/1 (с.2), 56/17, 57Б, 58 (к.8), 58А, 58/3 (с. 5);Бригадирский пер., 13;Доброслободская ул., 7/1;Ладожская ул., 2/37, 8 (с.1), 10/12;Лефортовский пер., 4;Плетешковский пер., 15, 17, 18-20 (к.1, 2);Посланников пер., 3, 3 (с. 5), 9, 11/14;Старокирочный пер., 14, 16/2 (с.1, 2, 5).";"Лефортовский пер., 8/10,школа 354495-632-25-19";"Лефортовский пер., 8/10,школа 354495-632-25-19";
баcман;26;"Бакунинская ул., 4-6 (с.1, 2), 8, 10/12;Бауманская ул., 33/2 (к.1, 3), 33/2 (с. 8), 35, 38, 46;Лефортовский пер., 5/7 (с.4);Плетешковский пер., 3А (с.1), 6, 7/9, 8 (с. 1, 2), 10, 12-16;Спартаковская ул., 4 (с.1), 6, 16 (к.1,2), 18, 20/34;Фридриха Энгельсаул., 3/5, 7-21 (с.1), 23.";"ул. Бауманская, 39Совет ветеранов495-632-26-23";"ул. Бауманская, 40школа 353495-632-23-79";
баcман;27;"Елоховский пр., 1 (с.1);Красносельская Нижн. ул., 34/16, 44 (с.1), 45/17;Новорязанская ул., 31/7 (с.5, 6);Ольховская ул., 16 (с.3);Спартаковская ул., 2А, 19 (с.2, 3, 3А).";"ул. Красносельская Нижн. , 42Совет ветеранов499-261-17-41";"Елоховский пр., 1, с.5Центр образования 345495-632-16-06";
баcман;28;"Бакунинская ул., 11 , 17/28;Бауманская ул., 13, 19, 20 (с.2, 3), 23, 26, 27, 28 (с.2);Красносельская Нижн. ул., 43;Спартаковская пл., 14;Спартаковский пер., 24 (с.1), 26 (с.1,2).";"ул. Красносельская Нижн., 42Совет ветеранов499-261-13-19";"ул. Бакунинская, 7, к.1Институт Атомпроект495-632-21-57";
баcман;29;"Бакунинская ул., 23/41;43-55, 49 (с.4, 5), 77 (с.3);Балакиревский пер., 1, 2/26 (с.1);Налесный пер., 9/11;Переведеновская Нов. ул., 28;Переведеновский пер., 3 (с.1), 4 (с.1, 2), 6 (с.3), 6А, 7/7, 9, 12, 16 (с.1, 4), 22 (с.2);Спартаковская пл., 1/2;Центросоюзный пер., 4, 8/9.";"ул. Бакунинская, 55Экологический фактор495-632-28-17";"Переведеновский пер., 11школа 1429495-632-27-94";
баcман;30;"Бакунинская ул., 26-30 (с.1), 32-36 (с.1), 38-42 (с.1), 44-48, 50 (с.3), 58 (с.1);Ирининский 2-й пер., 4;Почтовая Большая ул., 1/33, 5;Фридриха Энгельса ул., 28-30 (к.1, 2), 31/35, 36, 37-41 (к. А), 43/45.";"ул. Б.Почтовая, 18/20, кор.18Библиотека 113499-261-67-66";"ул. Б.Почтовая, 18/20, кор.18Библиотека 113499-261-67-66";
баcман;31;"Бауманская 2-я ул., 1А, 1Б, 1В.Волховский пер., 2, 21/23;Госпитальный пер., 4А, 4/6, 5/7, 6 (к. 2), 8;Ладожская ул., 7, 13, 15;Почтовая Малая ул., 5/12 (к. 2), 10.";"ул. Бауманская, 39Совет ветеранов495-632-26-30";"ул. Ладожская, 4/6городская поликлиника 129495-632-24-47";
баcман;32;"Почтовая Большая ул., 2/4, 6, 18/20 (к.11, 12, 15, 16, 17,18, 18А);Рубцов пер., 4 (с.1), 16;Рубцовская наб., 2 (к.1, 2, 3, 4, 5);Чешихинский пр., 4 (с.1), 18/20.";"ул. Большая Почтовая, 18/20, кор.12Совет ветеранов499-261-03-30";"Рубцов пер., 10/14,школа 1204495-632-27-89";
баcман;33;"Бакунинская ул., 62-68 (с.1), 96/98 (с.6), 98А (с.11);Новая Дорога ул., 17 (к.2);Почтовая Большая ул., 14-16, 16, 18, 18/20(к.2, 3, 4, 5, 6, 7, 8, 9, 9А, 10), 51/53, 61/67;Рубцовская наб., 4 (к.1, 2, 3);Фридриха Энгельса ул., 63 (с.1).";"ул. Большая Почтовая, 35/37школа 2495-632-28-23";"ул. Большая Почтовая, 35/37школа 2495-632-28-23";
баcман;34;"Семеновская наб., 2/1 (с.1, к.2), 3/1 (кор.1, 2, 3, 4, 5, 6, 7).";"Семеновская наб., 3/1, к.5 Совет ветеранов495-360-08-84";"Семеновская наб., 3/1, к.5 Совет ветеранов495-360-08-84";
баcман;35;"Гольяновская ул., 7 (к.1, 2, 3), 7А (к.4);Госпитальный вал ул., 5 (с. 1, 2, 3, 4, 5, 7, 7А, 10Б, к. 6, 10).";"ул. Госпитальный вал, 5, к.1ТРЭК-7495-360-08-12";"ул. Госпитальный вал, 5, к.19школа 435495-360-06-37";
баcман;36;"Гольяновская ул., 1Б, 3А, 3А (к.3);Гольяновский пр., 4А (с.1), 5;Госпитальный вал ул., 3, 5 (к. 8, 11, 13, 15, 16, 17, 18, с. 8А, 12).";"ул. Госпитальный вал, 5, к.18Совет ветеранов495-360-04-81";"ул. Госпитальный вал, 5, к.18Совет ветеранов495-360-04-81";
баcман;37;"Госпитальная пл., 3А;Госпитальный вал ул., 3 (к.1, 2, 3, 4, 5, 6, 7);Новая Дорога ул., 1, 3, 5.";"Госпитальная наб., 4/2Спорткомплекс МГТУ им. Н.Э.Баумана495-632-19-01";"Госпитальная наб., 4/2Спорткомплекс МГТУ им. Н.Э.Баумана495-632-19-01";
баcман;3201;"Главный военный клинический госпиталь им. Бурденко";"Госпитальная пл.,3";"Госпитальная пл.,3499-263-54-26";
баcман;3202;"ФГУ Московский научно-исследовательский институт глазных болезней им. Гельмгольца";"Садовая-Черногрязская ул., 14/19";"Садовая-Черногрязская ул., 14/19495-608-00-26";
баcман;3203;"Городская клиническая больница № 6";"Басманная Нов. ул., 26";"Басманная Нов. ул., 26499-261-71-34";
баcман;3204;"Онкологический клинический диспансер № 1";"Бауманская ул., 17/1";"Бауманская улица, 17/1499-261-92-60";
баcман;3205;"Родильный дом № 18";"Гольяновская ул., 4";"Гольяновская ул., 4495-360-63-14";
баcман;3206;"574 Военный клинический госпиталь";"Яковоапостольский пер., 8";"Яковоапостольский пер., 8495-916-38-27";
баcман;3207;"ФГУ ГНИЦ ПМ Росмедтехнологий";"Петроверигский пер., 10";"Петроверигский пер., 10495-627-03-54";
баcман;3208;"Московский областной научно-исследовательский институт акушерства и гинекологии";"Покровка ул., 22А";"Покровка ул., 22А495-625-63-17";
баcман;3209;"Научно-практический центр интервенционной кардиоангиологии";"Сверчков пер., 5";"Сверчков пер., 5495-625-16-53";
баcман;4001;"Курский вокзал";"Земляной вал ул., 29";"Земляной вал ул., 298-962-911-20-68";
